class	url	experimental	unstable	obsolete	deprecated	description
Reflect	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Reflect	false	false	false	false	Reflect is a built-in object that provides methods for interceptable JavaScript operations. The methods are the same as those of proxy handlers. Reflect is not a function object, so it's not constructible.
RegExp	/en-US/docs/Web/JavaScript/Reference/Global_Objects/RegExp	false	false	false	false	The RegExp object is used for matching text with a pattern.
Set	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Set	false	false	false	false	The Set object lets you store unique values of any type, whether primitive values or object references.
SharedArrayBuffer	/en-US/docs/Web/JavaScript/Reference/Global_Objects/SharedArrayBuffer	false	false	false	false	The SharedArrayBuffer object is used to represent a generic, fixed-length raw binary data buffer, similar to the ArrayBuffer object, but in a way that they can be used to create views on shared memory. Unlike an ArrayBuffer, a SharedArrayBuffer cannot become detached.
String	/en-US/docs/Web/JavaScript/Reference/Global_Objects/String	false	false	false	false	The String object is used to represent and manipulate a sequence of characters.
Symbol	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Symbol	false	false	false	false	The data type symbol is a primitive data type. The Symbol() function returns a value of type symbol, has static properties that expose several members of built-in objects, has static methods that expose the global symbol registry, and resembles a built-in object class, but is incomplete as a constructor because it does not support the syntax \"new Symbol()\".
SyntaxError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/SyntaxError	false	false	false	false	The SyntaxError object represents an error when trying to interpret syntactically invalid code. It is thrown when the JavaScript engine encounters tokens or token order that does not conform to the syntax of the language when parsing code.
TypeError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/TypeError	false	false	false	false	The TypeError object represents an error when an operation could not be performed, typically (but not exclusively) when a value is not of the expected type.
TypedArray	/en-US/docs/Web/JavaScript/Reference/Global_Objects/TypedArray	false	false	false	false	A TypedArray object describes an array-like view of an underlying binary data buffer. There is no global property named TypedArray, nor is there a directly visible TypedArray constructor.  Instead, there are a number of different global properties, whose values are typed array constructors for specific element types, listed below. On the following pages you will find common properties and methods that can be used with any typed array containing elements of any type.
URIError	/en-US/docs/Web/JavaScript/Reference/Global_Objects/URIError	false	false	false	false	The URIError object represents an error when a global URI handling function was used in a wrong way.
Uint16Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Uint16Array	false	false	false	false	The Uint16Array typed array represents an array of 16-bit unsigned integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Uint32Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Uint32Array	false	false	false	false	The Uint32Array typed array represents an array of 32-bit unsigned integers in the platform byte order. If control over byte order is needed, use DataView instead. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Uint8Array	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Uint8Array	false	false	false	false	The Uint8Array typed array represents an array of 8-bit unsigned integers. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
Uint8ClampedArray	/en-US/docs/Web/JavaScript/Reference/Global_Objects/Uint8ClampedArray	false	false	false	false	The Uint8ClampedArray typed array represents an array of 8-bit unsigned integers clamped to 0-255; if you specified a value that is out of the range of [0,255], 0 or 255 will be set instead; if you specify a non-integer, the nearest integer will be set. The contents are initialized to 0. Once established, you can reference elements in the array using the object's methods, or using standard array index syntax (that is, using bracket notation).
WeakMap	/en-US/docs/Web/JavaScript/Reference/Global_Objects/WeakMap	false	false	false	false	The WeakMap object is a collection of key/value pairs in which the keys are weakly referenced. The keys must be objects and the values can be arbitrary values.
WeakRef	/en-US/docs/Web/JavaScript/Reference/Global_Objects/WeakRef	false	false	false	false	A WeakRef object lets you hold a weak reference to another object, without preventing that object from getting garbage-collected.
WeakSet	/en-US/docs/Web/JavaScript/Reference/Global_Objects/WeakSet	false	false	false	false	The WeakSet object lets you store weakly held objects in a collection.
WebAssembly	/en-US/docs/Web/JavaScript/Reference/Global_Objects/WebAssembly	false	false	false	false	The WebAssembly JavaScript object acts as the namespace for all WebAssembly-related functionality.
decodeURI	/en-US/docs/Web/JavaScript/Reference/Global_Objects/decodeURI	false	false	false	false	The decodeURI() function decodes a Uniform Resource Identifier (URI) previously created by encodeURI() or by a similar routine.
decodeURIComponent	/en-US/docs/Web/JavaScript/Reference/Global_Objects/decodeURIComponent	false	false	false	false	The decodeURIComponent() function decodes a Uniform Resource Identifier (URI) component previously created by encodeURIComponent or by a similar routine.
encodeURI	/en-US/docs/Web/JavaScript/Reference/Global_Objects/encodeURI	false	false	false	false	The encodeURI() function encodes a URI by replacing each instance of certain characters by one, two, three, or four escape sequences representing the UTF-8 encoding of the character (will only be four escape sequences for characters composed of two \"surrogate\" characters).
encodeURIComponent	/en-US/docs/Web/JavaScript/Reference/Global_Objects/encodeURIComponent	false	false	false	false	The encodeURIComponent() function encodes a URI by replacing each instance of certain characters by one, two, three, or four escape sequences representing the UTF-8 encoding of the character (will only be four escape sequences for characters composed of two \"surrogate\" characters).
escape	/en-US/docs/Web/JavaScript/Reference/Global_Objects/escape	false	false	false	true	The escape() function computes a new string in which certain characters have been replaced by a hexadecimal escape sequence.
eval	/en-US/docs/Web/JavaScript/Reference/Global_Objects/eval	false	false	false	false	The eval() function evaluates JavaScript code represented as a string.
globalThis	/en-US/docs/Web/JavaScript/Reference/Global_Objects/globalThis	false	false	false	false	The global globalThis property contains the global this value, which is akin to the global object.
isFinite	/en-US/docs/Web/JavaScript/Reference/Global_Objects/isFinite	false	false	false	false	The global isFinite() function determines whether the passed value is a finite number. If  needed, the parameter is first converted to a number.
isNaN	/en-US/docs/Web/JavaScript/Reference/Global_Objects/isNaN	false	false	false	false	The isNaN() function determines whether a value is NaN or not. Note, coercion inside the isNaN function has interesting rules; you may alternatively want to use Number.isNaN(), as defined in ECMAScript 2015.
null	/en-US/docs/Web/JavaScript/Reference/Global_Objects/null	false	false	false	false	The value null represents the intentional absence of any object value. It is one of JavaScript's primitive values and is treated as falsy for boolean operations.
parseFloat	/en-US/docs/Web/JavaScript/Reference/Global_Objects/parseFloat	false	false	false	false	The parseFloat() function parses an argument (converting it to a string first if needed) and returns a floating point number.
parseInt	/en-US/docs/Web/JavaScript/Reference/Global_Objects/parseInt	false	false	false	false	The parseInt() function parses a string argument and returns an integer of the specified radix (the base in mathematical numeral systems).
undefined	/en-US/docs/Web/JavaScript/Reference/Global_Objects/undefined	false	false	false	false	The global undefined property represents the primitive value undefined. It is one of JavaScript's primitive types.
unescape	/en-US/docs/Web/JavaScript/Reference/Global_Objects/unescape	false	false	false	true	The unescape() function computes a new string in which hexadecimal escape sequences are replaced with the character that it represents. The escape sequences might be introduced by a function like escape. Usually, decodeURI or decodeURIComponent are preferred over unescape.
uneval	/en-US/docs/Web/JavaScript/Reference/Global_Objects/uneval	false	true	false	false	The uneval() function creates a string representation of the source code of an Object.
