class	url	experimental	unstable	obsolete	deprecated	description
AnimationTimeline	/en-US/docs/Web/API/AnimationTimeline	false	false	false	false	The AnimationTimeline interface of the Web Animations API represents the timeline of an animation. This interface exists to define timeline features (inherited by DocumentTimeline and future timeline types) and is not itself directly used by developers. Anywhere you see AnimationTimeline, you should use DocumentTimeline or any other timeline type instead.
ArrayBufferView	/en-US/docs/Web/API/ArrayBufferView	false	false	false	false	ArrayBufferView is a helper type representing any of the following JavaScript TypedArray types:
Attr	/en-US/docs/Web/API/Attr	false	false	false	false	The Attr interface represents one of a DOM element's attributes as an object. In most DOM methods, you will directly retrieve the attribute as a string (e.g., Element.getAttribute()), but certain functions (e.g., Element.getAttributeNode()) or means of iterating return Attr types.
AudioBuffer	/en-US/docs/Web/API/AudioBuffer	false	false	false	false	The AudioBuffer interface represents a short audio asset residing in memory, created from an audio file using the AudioContext.decodeAudioData() method, or from raw data using AudioContext.createBuffer(). Once put into an AudioBuffer, the audio can then be played by being passed into an AudioBufferSourceNode.
AudioBufferSourceNode	/en-US/docs/Web/API/AudioBufferSourceNode	false	false	false	false	The AudioBufferSourceNode interface is an AudioScheduledSourceNode which represents an audio source consisting of in-memory audio data, stored in an AudioBuffer. It's especially useful for playing back audio which has particularly stringent timing accuracy requirements, such as for sounds that must match a specific rhythm and can be kept in memory rather than being played from disk or the network.
AudioConfiguration	/en-US/docs/Web/API/AudioConfiguration	true	false	false	false	The AudioConfiguration dictionary of the Media Capabilities API defines the audio file being tested when calling MediaCapabilities.encodingInfo() or MediaCapabilities.decodingInfo() to query whether a specific audio configuration is supported, smooth, and/or power efficient.
AudioContext	/en-US/docs/Web/API/AudioContext	false	false	false	false	The AudioContext interface represents an audio-processing graph built from audio modules linked together, each represented by an AudioNode.
AudioContextLatencyCategory	/en-US/docs/Web/API/AudioContextLatencyCategory	false	false	false	false	The AudioContextLatencyCategory type is an enumerated set of strings which are used to select one of a number of default values for acceptable maximum latency of an audio context.
AudioContextOptions	/en-US/docs/Web/API/AudioContextOptions	false	false	false	false	The AudioContextOptions dictionary is used to specify configuration options when constructing a new AudioContext object to represent a graph of web audio nodes.
AudioDestinationNode	/en-US/docs/Web/API/AudioDestinationNode	false	false	false	false	The AudioDestinationNode interface represents the end destination of an audio graph in a given context — usually the speakers of your device. It can also be the node that will "record" the audio data when used with an OfflineAudioContext.
AudioListener	/en-US/docs/Web/API/AudioListener	false	false	false	false	The AudioListener interface represents the position and orientation of the unique person listening to the audio scene, and is used in audio spatialization. All PannerNodes spatialize in relation to the AudioListener stored in the BaseAudioContext.listener attribute.
AudioNode	/en-US/docs/Web/API/AudioNode	false	false	false	false	The AudioNode interface is a generic interface for representing an audio processing module.
AudioNodeOptions	/en-US/docs/Web/API/AudioNodeOptions	false	false	false	false	The AudioNodeOptions dictionary of the Web Audio API specifies options that can be used when creating new AudioNode objects.
AudioParam	/en-US/docs/Web/API/AudioParam	false	false	false	false	The Web Audio API's AudioParam interface represents an audio-related parameter, usually a parameter of an AudioNode (such as GainNode.gain).
AudioParamDescriptor	/en-US/docs/Web/API/AudioParamDescriptor	false	false	false	false	The AudioParamDescriptor dictionary of the Web Audio API specifies properties for an AudioParam objects.
AudioParamMap	/en-US/docs/Web/API/AudioParamMap	true	false	false	false	The Web Audio API interface AudioParamMap represents a set of multiple audio parameters, each described as a mapping of a DOMString identifying the parameter to the AudioParam object representing its value.
AudioProcessingEvent	/en-US/docs/Web/API/AudioProcessingEvent	false	false	false	true	The Web Audio API AudioProcessingEvent represents events that occur when a ScriptProcessorNode input buffer is ready to be processed.
AudioScheduledSourceNode	/en-US/docs/Web/API/AudioScheduledSourceNode	false	false	false	false	The AudioScheduledSourceNode interface—part of the Web Audio API—is a parent interface for several types of audio source node interfaces which share the ability to be started and stopped, optionally at specified times. Specifically, this interface defines the start() and stop() methods, as well as the onended event handler.
AudioTrack	/en-US/docs/Web/API/AudioTrack	false	false	false	false	The AudioTrack interface represents a single audio track from one of the HTML media elements, <audio> or <video>. 
AudioTrackList	/en-US/docs/Web/API/AudioTrackList	false	false	false	false	The AudioTrackList interface is used to represent a list of the audio tracks contained within a given HTML media element, with each track represented by a separate AudioTrack object in the list.
AudioWorklet	/en-US/docs/Web/API/AudioWorklet	false	false	false	false	The AudioWorklet interface of the Web Audio API is used to supply custom audio processing scripts that execute in a separate thread to provide very low latency audio processing.
AudioWorkletGlobalScope	/en-US/docs/Web/API/AudioWorkletGlobalScope	false	false	false	false	The AudioWorkletGlobalScope interface of the Web Audio API represents a global execution context for user-supplied code, which defines custom AudioWorkletProcessor-derived classes.
AudioWorkletNode	/en-US/docs/Web/API/AudioWorkletNode	true	false	false	false	The AudioWorkletNode interface of the Web Audio API represents a base class for a user-defined AudioNode, which can be connected to an audio routing graph along with other nodes. It has an associated AudioWorkletProcessor, which does the actual audio processing in a Web Audio rendering thread.
AudioWorkletNodeOptions	/en-US/docs/Web/API/AudioWorkletNodeOptions	false	false	false	false	The AudioWorkletNodeOptions dictionary of the Web Audio API is used to specify configuration options when constructing a new AudioWorkletNode object for custom audio processing.
AudioWorkletProcessor	/en-US/docs/Web/API/AudioWorkletProcessor	false	false	false	false	The AudioWorkletProcessor interface of the Web Audio API represents an audio processing code behind a custom AudioWorkletNode. It lives in the AudioWorkletGlobalScope and runs on the Web Audio rendering thread. In turn, an AudioWorkletNode based on it runs on the main thread.
AuthenticatorAssertionResponse	/en-US/docs/Web/API/AuthenticatorAssertionResponse	false	false	false	false	The AuthenticatorAssertionResponse interface of the Web Authentication API is returned by CredentialsContainer.get() when a PublicKeyCredential is passed, and provides proof to a service that it has a key pair and that the authentication request is valid and approved.
AuthenticatorAttestationResponse	/en-US/docs/Web/API/AuthenticatorAttestationResponse	false	false	false	false	The AuthenticatorAttestationResponse interface of the Web Authentication API is returned by CredentialsContainer.create() when a PublicKeyCredential is passed, and provides a cryptographic root of trust for the new key pair that has been generated. This response should be sent to the relying party's server to complete the creation of the credential.
AuthenticatorResponse	/en-US/docs/Web/API/AuthenticatorResponse	false	false	false	false	The AuthenticatorResponse interface of the Web Authentication API is the base interface for interfaces that provide a cryptographic root of trust for a key pair. The child interfaces include information from the browser such as the challenge origin and either may be returned from PublicKeyCredential.response.
BarcodeDetector	/en-US/docs/Web/API/BarcodeDetector	false	false	false	false	The BarcodeDetector interface of the Barcode Detection API allows detection of linear and two dimensional barcodes in images.
BaseAudioContext	/en-US/docs/Web/API/BaseAudioContext	false	false	false	false	The BaseAudioContext interface of the Web Audio API acts as a base definition for online and offline audio-processing graphs, as represented by AudioContext and OfflineAudioContext respectively.
BasicCardRequest	/en-US/docs/Web/API/BasicCardRequest	false	false	false	false	The BasicCardRequest dictionary is a JavaScript object-structure that can be used in the Payment Request API. The properties of BasicCardRequest are defined in the Basic Card Payment spec).
BasicCardResponse	/en-US/docs/Web/API/BasicCardResponse	true	false	false	false	The BasicCardResponse dictionary (related to the Payment Request API, although defined in the Basic Card Payment spec) defines an object structure for payment response details such as the number/expiry date of the card used to make the payment, and the billing address.
BatteryManager	/en-US/docs/Web/API/BatteryManager	false	false	true	false	The BatteryManager interface provides ways to get information about the system's battery charge level.
BeforeInstallPromptEvent	/en-US/docs/Web/API/BeforeInstallPromptEvent	true	false	false	false	This interface inherits from the Event interface.
BeforeUnloadEvent	/en-US/docs/Web/API/BeforeUnloadEvent	false	false	false	false	The beforeunload event is fired when the window, the document and its resources are about to be unloaded.
BiquadFilterNode	/en-US/docs/Web/API/BiquadFilterNode	false	false	false	false	The BiquadFilterNode interface represents a simple low-order filter, and is created using the AudioContext.createBiquadFilter() method. It is an AudioNode that can represent different kinds of filters, tone control devices, and graphic equalizers.
Blob	/en-US/docs/Web/API/Blob	false	false	false	false	The Blob object represents a blob, which is a file-like object of immutable, raw data; they can be read as text or binary data, or converted into a ReadableStream so its methods can be used for processing the data.
BlobBuilder	/en-US/docs/Web/API/BlobBuilder	false	false	true	false	The BlobBuilder interface provides an easy way to construct Blob objects. Just create a BlobBuilder and append chunks of data to it by calling the append() method. When you're done building your blob, call getBlob() to retrieve a Blob containing the data you sent into the blob builder.
BlobEvent	/en-US/docs/Web/API/BlobEvent	false	false	false	false	The BlobEvent interface represents events associated with a Blob. These blobs are typically, but not necessarily,  associated with media content.
Bluetooth	/en-US/docs/Web/API/Bluetooth	true	false	false	false	The Bluetooth interface of the Web Bluetooth API returns a Promise to a BluetoothDevice object with the specified options.
BluetoothAdvertisingData	/en-US/docs/Web/API/BluetoothAdvertisingData	false	true	true	false	The BluetoothDevice interface of the Web Bluetooth API provides advertising data about a particular Bluetooth device.
BluetoothCharacteristicProperties	/en-US/docs/Web/API/BluetoothCharacteristicProperties	true	false	false	false	The BluetoothCharacteristicProperties interface of the the Web Bluetooth API provides the operations that are valid on the given BluetoothRemoteGATTCharacteristic.
BluetoothDevice	/en-US/docs/Web/API/BluetoothDevice	true	false	false	false	The BluetoothDevice interface of the Web Bluetooth API represents a Bluetooth device inside a particular script execution environment.
BluetoothRemoteGATTCharacteristic	/en-US/docs/Web/API/BluetoothRemoteGATTCharacteristic	true	false	false	false	The BluetoothRemoteGattCharacteristic interface of the Web Bluetooth API represents a GATT Characteristic, which is a basic data element that provides further information about a peripheral’s service.
BluetoothRemoteGATTDescriptor	/en-US/docs/Web/API/BluetoothRemoteGATTDescriptor	true	false	false	false	The BluetoothRemoteGATTDescriptor interface of the Web Bluetooth API provides a GATT Descriptor, which provides further information about a characteristic’s value.
BluetoothRemoteGATTServer	/en-US/docs/Web/API/BluetoothRemoteGATTServer	true	false	false	false	The BluetoothRemoteGATTServer interface of the Web Bluetooth API represents a GATT Server on a remote device.
BluetoothRemoteGATTService	/en-US/docs/Web/API/BluetoothRemoteGATTService	true	false	false	false	The BluetoothRemoteGATTService interface of the Web Bluetooth API represents a service provided by a GATT server, including a device, a list of referenced services, and a list of the characteristics of this service.
Body	/en-US/docs/Web/API/Body	true	false	false	false	The Body mixin of the Fetch API represents the body of the response/request, allowing you to declare what its content type is and how it should be handled.
BroadcastChannel	/en-US/docs/Web/API/BroadcastChannel	true	false	false	false	The BroadcastChannel interface represents a named channel that any browsing context of a given origin can subscribe to. It allows communication between different documents (in different windows, tabs, frames or iframes) of the same origin. Messages are broadcasted via a message event fired at all BroadcastChannel objects listening to the channel.
BudgetService	/en-US/docs/Web/API/BudgetService	false	false	false	false	The BudgetService interface of the Web Budget API provides a programmatic interface to the user agent’s budget service. It is available in both document and worker environments.
BufferSource	/en-US/docs/Web/API/BufferSource	false	false	false	false	BufferSource is a typedef used to represent objects that are either themselves an ArrayBuffer, or which are a TypedArray providing an ArrayBufferView.
ByteLengthQueuingStrategy	/en-US/docs/Web/API/ByteLengthQueuingStrategy	true	false	false	false	The ByteLengthQueuingStrategy interface of the the Streams API provides a built-in byte length queuing strategy that can be used when constructing streams.
ByteString	/en-US/docs/Web/API/ByteString	false	false	false	false	ByteString is a UTF-8 String that corresponds to the set of all possible sequences of bytes. ByteString maps to a String when returned in JavaScript; generally, it's only used when interfacing with protocols that use bytes and strings interchangably, such as HTTP.
CDATASection	/en-US/docs/Web/API/CDATASection	false	false	false	false	The CDATASection interface represents a CDATA section that can be used within XML to include extended portions of unescaped text. The symbols < and & don’t need escaping as they normally do when inside a CDATA section.
CSS	/en-US/docs/Web/API/CSS	false	false	false	false	The CSS interface holds useful CSS-related methods. No objects with this interface are implemented: it contains only static methods and is therefore a utilitarian interface.
CSSConditionRule	/en-US/docs/Web/API/CSSConditionRule	false	false	false	false	An object implementing the CSSConditionRule interface represents a single condition CSS at-rule, which consists of a condition and a statement block. It is a child of CSSGroupingRule.
CSSCounterStyleRule	/en-US/docs/Web/API/CSSCounterStyleRule	false	false	false	false	The CSSCounterStyleRule interface represents an @counter-style at-rule.
CSSGroupingRule	/en-US/docs/Web/API/CSSGroupingRule	false	false	false	false	An object implementing the CSSGroupingRule interface represents any CSS at-rule that contains other rules nested within it.
CSSImageValue	/en-US/docs/Web/API/CSSImageValue	true	false	false	false	The CSSImageValue interface of the CSS Typed Object Model API represents values for properties that take an image, for example background-image, list-style-image, or border-image-source. The
CSSKeyframeRule	/en-US/docs/Web/API/CSSKeyframeRule	true	false	false	false	The CSSKeyframeRule interface describes an object representing a set of style for a given keyframe. It corresponds to the contains of a single keyframe of a @keyframes at-rule. It implements the CSSRule interface with a type value of 8 (CSSRule.KEYFRAME_RULE).
CSSKeyframesRule	/en-US/docs/Web/API/CSSKeyframesRule	true	false	false	false	The CSSKeyframesRule interface describes an object representing a complete set of keyframes for a CSS animation. It corresponds to the contents of a whole @keyframes at-rule. It implements the CSSRule interface with a type value of 7 (CSSRule.KEYFRAMES_RULE).
CSSKeywordValue	/en-US/docs/Web/API/CSSKeywordValue	true	false	false	false	The CSSKeywordValue interface of the the CSS Typed Object Model API creates an object to represent CSS keywords and other identifiers. 
CSSMathProduct	/en-US/docs/Web/API/CSSMathProduct	true	false	false	false	The CSSMathProduct interface of the CSS Typed Object Model API represents the result obtained by calling add(), sub(), or toSum() on CSSNumericValue.
CSSMathSum	/en-US/docs/Web/API/CSSMathSum	true	false	false	false	The CSSMathSum interface of the CSS Typed Object Model API represents the result obtained by calling add(), sub(), or toSum() on CSSNumericValue.
CSSMathValue	/en-US/docs/Web/API/CSSMathValue	true	false	false	false	The CSSMathValue interface of the CSS Typed Object Model API a base class for classes representing complex numeric values.
CSSMediaRule	/en-US/docs/Web/API/CSSMediaRule	false	false	false	false	The CSSMediaRule interface represents a single CSS @media rule. It implements the CSSConditionRule interface, and therefore the CSSGroupingRule and the CSSRule interface with a type value of 4 (CSSRule.MEDIA_RULE).
CSSNamespaceRule	/en-US/docs/Web/API/CSSNamespaceRule	false	false	false	false	The CSSNamespaceRule interface describes an object representing a single CSS @namespace at-rule. It implements the CSSRule interface, with a type value of 10 (CSSRule.NAMESPACE_RULE).
CSSNumericValue	/en-US/docs/Web/API/CSSNumericValue	true	false	false	false	The CSSNumericValue interface of the CSS Typed Object Model API represents operations that all numeric values can perform.
CSSOMString	/en-US/docs/Web/API/CSSOMString	false	false	false	false	CSSOMString is used to denote string data in CSSOM specifications and can refer to either DOMString or USVString. When a specification says CSSOMString, it depends on the browser vendors to choose whether to use DOMString or USVString. While browser implementations that use UTF-8 internally to represent strings in memory can use USVString when the specification says CSSOMString, implementations that already represent strings as 16-bit sequences might choose to use DOMString instead.
CSSPageRule	/en-US/docs/Web/API/CSSPageRule	false	false	false	false	CSSPageRule is an interface representing a single CSS @page rule. It implements the CSSRule interface with a type value of 6 (CSSRule.PAGE_RULE).
CSSPositionValue	/en-US/docs/Web/API/CSSPositionValue	true	false	false	false	The CSSPositionValue interface of the the CSS Typed Object Model API represents values for properties that take a position, for example object-position. 
CSSPrimitiveValue	/en-US/docs/Web/API/CSSPrimitiveValue	false	false	true	false	The CSSPrimitiveValue interface derives from the CSSValue interface and represents the current computed value of a CSS property.
CSSPseudoElement	/en-US/docs/Web/API/CSSPseudoElement	true	false	false	false	The CSSPseudoElement interface represents a pseudo-element that may be the target of an event or animated using the Web Animations API. Instances of this interface may be obtained by calling Element.pseudo().
CSSRule	/en-US/docs/Web/API/CSSRule	false	false	false	false	The CSSRule interface represents a single CSS rule. There are several types of rules, listed in the Type constants section below.
CSSRuleList	/en-US/docs/Web/API/CSSRuleList	false	false	false	false	A CSSRuleList is an (indirect-modify only) array-like object containing an ordered collection of CSSRule objects.
CSSStyleDeclaration	/en-US/docs/Web/API/CSSStyleDeclaration	false	false	false	false	The CSSStyleDeclaration interface represents an object that is a CSS declaration block, and exposes style information and various style-related methods and properties.
CSSStyleRule	/en-US/docs/Web/API/CSSStyleRule	false	false	false	false	CSSStyleRule represents a single CSS style rule. It implements the CSSRule interface with a type value of 1 (CSSRule.STYLE_RULE).
CSSStyleSheet	/en-US/docs/Web/API/CSSStyleSheet	false	false	false	false	The CSSStyleSheet interface represents a single CSS stylesheet, and lets you inspect and modify the list of rules contained in the stylesheet.
CSSStyleValue	/en-US/docs/Web/API/CSSStyleValue	true	false	false	false	The CSSStyleValue interface of the the CSS Typed Object Model API is the base class of all CSS values accessible through the Typed OM API. An instance of this class may be used anywhere a string is expected.
CSSSupportsRule	/en-US/docs/Web/API/CSSSupportsRule	false	false	false	false	The CSSSupportsRule interface describes an object representing a single CSS @supports at-rule. It implements the CSSConditionRule interface, and therefore the CSSRule and CSSGroupingRule interfaces with a type value of 12 (CSSRule.SUPPORTS_RULE).
CSSUnitValue	/en-US/docs/Web/API/CSSUnitValue	true	false	false	false	The CSSUnitValue interface of the CSS Typed Object Model API represents values that contain a single unit type. For example, "42px" would be represented by a CSSNumericValue.
CSSUnparsedValue	/en-US/docs/Web/API/CSSUnparsedValue	true	false	false	false	The CSSUnparsedValue interface of the CSS Typed Object Model API represents property values that reference custom properties. It consists of a list of string fragments and variable references.
CSSValue	/en-US/docs/Web/API/CSSValue	false	false	true	false	The CSSValue interface represents the current computed value of a CSS property.
CSSValueList	/en-US/docs/Web/API/CSSValueList	false	false	true	false	The CSSValueList interface derives from the CSSValue interface and provides the abstraction of an ordered collection of CSS values.
CSSVariableReferenceValue	/en-US/docs/Web/API/CSSVariableReferenceValue	true	false	false	false	The CSSVariableReferenceValue interface of the CSS Typed Object Model API allows you to create a custom name for a built-in CSS value. This object functionality is sometimes called a "CSS variable" and serves the same purpose as the var() function. The custom name must begin with two dashes.
Cache	/en-US/docs/Web/API/Cache	true	false	false	false	The Cache interface provides a storage mechanism for Request / Response object pairs that are cached, for example as part of the ServiceWorker life cycle. Note that the Cache interface is exposed to windowed scopes as well as workers. You don't have to use it in conjunction with service workers, even though it is defined in the service worker spec.
CacheStorage	/en-US/docs/Web/API/CacheStorage	true	false	false	false	The CacheStorage interface represents the storage for Cache objects.
CanvasCaptureMediaStreamTrack	/en-US/docs/Web/API/CanvasCaptureMediaStreamTrack	true	false	false	false	The CanvasCaptureMediaStreamTrack interface represents the video track contained in a MediaStream being generated from a <canvas> following a call to HTMLCanvasElement.captureStream().
CanvasGradient	/en-US/docs/Web/API/CanvasGradient	false	false	false	false	The CanvasGradient interface represents an opaque object describing a gradient. It is returned by the methods CanvasRenderingContext2D.createLinearGradient() or CanvasRenderingContext2D.createRadialGradient().
CanvasImageSource	/en-US/docs/Web/API/CanvasImageSource	false	false	false	false	CanvasImageSource provides a mechanism for other interfaces to be used as image sources for some methods of the CanvasDrawImage and CanvasFillStrokeStyles interfaces. It’s just an internal helper type to simplify the specification. It’s not an interface and there are no objects implementing it.
CanvasPattern	/en-US/docs/Web/API/CanvasPattern	false	false	false	false	The CanvasPattern interface represents an opaque object describing a pattern, based on an image, a canvas, or a video, created by the CanvasRenderingContext2D.createPattern() method.
CanvasRenderingContext2D	/en-US/docs/Web/API/CanvasRenderingContext2D	false	false	false	false	The CanvasRenderingContext2D interface, part of the Canvas API, provides the 2D rendering context for the drawing surface of a <canvas> element. It is used for drawing shapes, text, images, and other objects.
CaretPosition	/en-US/docs/Web/API/CaretPosition	true	false	false	false	The CaretPosition interface represents the caret position, an indicator for the text insertion point. You can get a CaretPosition using the document.caretPositionFromPoint method.
ChannelMergerNode	/en-US/docs/Web/API/ChannelMergerNode	false	false	false	false	The ChannelMergerNode interface, often used in conjunction with its opposite, ChannelSplitterNode, reunites different mono inputs into a single output. Each input is used to fill a channel of the output. This is useful for accessing each channels separately, e.g. for performing channel mixing where gain must be separately controlled on each channel.
ChannelSplitterNode	/en-US/docs/Web/API/ChannelSplitterNode	false	false	false	false	The ChannelSplitterNode interface, often used in conjunction with its opposite, ChannelMergerNode, separates the different channels of an audio source into a set of mono outputs. This is useful for accessing each channel separately, e.g. for performing channel mixing where gain must be separately controlled on each channel.
CharacterData	/en-US/docs/Web/API/CharacterData	false	false	false	false	The CharacterData abstract interface represents a Node object that contains characters. This is an abstract interface, meaning there aren't any object of type CharacterData: it is implemented by other interfaces, like Text, Comment, or ProcessingInstruction which aren't abstract.
ChildNode	/en-US/docs/Web/API/ChildNode	true	false	false	false	The ChildNode mixin contains methods and properties that are common to all types of Node objects that can have a parent.
Client	/en-US/docs/Web/API/Client	true	false	false	false	The Client interface represents an executable context such as a Worker, or a SharedWorker. Window clients are represented by the more-specific WindowClient. You can get Client/WindowClient objects from methods such as Clients.matchAll() and Clients.get().
Clients	/en-US/docs/Web/API/Clients	true	false	false	false	The Clients interface provides access to Client objects. Access it via self.clients within a service worker.
Clipboard	/en-US/docs/Web/API/Clipboard	false	false	false	false	The Clipboard interface implements the Clipboard API, providing—if the user grants permission—both read and write access to the contents of the system clipboard.
ClipboardEvent	/en-US/docs/Web/API/ClipboardEvent	true	false	false	false	The ClipboardEvent interface represents events providing information related to modification of the clipboard, that is cut, copy, and paste events.
ClipboardItem	/en-US/docs/Web/API/ClipboardItem	false	false	false	false	The ClipboardItem interface of the Clipboard API represents a single item format, used when reading or writing data via the Clipboard API. That is clipboard.read() and clipboard.write() respectively.
CloseEvent	/en-US/docs/Web/API/CloseEvent	false	false	false	false	A CloseEvent is sent to clients using WebSockets when the connection is closed. This is delivered to the listener indicated by the WebSocket object's onclose attribute.
Comment	/en-US/docs/Web/API/Comment	false	false	false	false	The Comment interface represents textual notations within markup; although it is generally not visually shown, such comments are available to be read in the source view.
CompositionEvent	/en-US/docs/Web/API/CompositionEvent	false	false	false	false	The DOM CompositionEvent represents events that occur due to the user indirectly entering text.
ConstantSourceNode	/en-US/docs/Web/API/ConstantSourceNode	false	false	false	false	The ConstantSourceNode interface—part of the Web Audio API—represents an audio source (based upon AudioScheduledSourceNode) whose output is single unchanging value. This makes it useful for cases in which you need a constant value coming in from an audio source. In addition, it can be used like a constructible AudioParam by automating the value of its offset or by connecting another node to it; see Controlling multiple parameters with ConstantSourceNode.
ConstrainBoolean	/en-US/docs/Web/API/ConstrainBoolean	false	false	false	false	The ConstrainBoolean dictionary is used to specify a constraint for a property whose value is a Boolean value. You can specify an exact value which must be matched, an ideal value that should be matched if at all possible, and a fallback value to attempt to match once all more specific constraints have been applied.
ConstrainDOMString	/en-US/docs/Web/API/ConstrainDOMString	false	false	false	false	The ConstrainDOMString dictionary is used to specify a constraint for a property whose value is a string. It allows you to specify one or more exact string values from which one must be the parameter's value, or a set of ideal values which should be used if possible. You can also specify a single string (or an array of strings) which the user agent will do its best to match once all more stringent constraints have been applied.
ConstrainDouble	/en-US/docs/Web/API/ConstrainDouble	false	false	false	false	The ConstrainDouble type is used to specify a constraint for a property whose value is a double-precision floating-point number. It extends the DoubleRange dictionary (which provides the ability to specify a permitted range of property values) to also support an exact value and/or an ideal value the property should take on. Additionally, you can specify the property's value as a simple floating-point value, in which case the user agent does its best to match the value once all other more stringent constraints are met.
ConstrainULong	/en-US/docs/Web/API/ConstrainULong	false	false	false	false	The ConstrainULong type is used to specify a constraint for a property whose value is an integral number. It extends the ULongRange dictionary (which provides the ability to specify a permitted range of property values) to also support an exact value and/or an ideal value the property should take on. In addition, you can specify the value as a simple long integer value, in which case the user agent does its best to match the value once all other more stringent constraints are met.
ContactsManager	/en-US/docs/Web/API/ContactsManager	false	false	false	false	The ContactsManager interface of the Contact Picker API allows users to select entries from their contact list and share limited details of the selected entries with a website or application.
ContentIndex	/en-US/docs/Web/API/ContentIndex	false	false	false	false	The ContentIndex interface of the Content Index API allows developers to register their offline enabled content with the browser.
ContentIndexEvent	/en-US/docs/Web/API/ContentIndexEvent	false	false	false	false	The ContentIndexEvent interface of the Content Index API defines the object used to represent the contentdelete event.
ConvolverNode	/en-US/docs/Web/API/ConvolverNode	false	false	false	false	The ConvolverNode interface is an AudioNode that performs a Linear Convolution on a given AudioBuffer, often used to achieve a reverb effect. A ConvolverNode always has exactly one input and one output.
CountQueuingStrategy	/en-US/docs/Web/API/CountQueuingStrategy	true	false	false	false	The CountQueuingStrategy interface of the the Streams API provides a built-in chunk counting queuing strategy that can be used when constructing streams.
CrashReportBody	/en-US/docs/Web/API/CrashReportBody	true	false	false	false	The CrashReportBody interface of the Reporting API represents the body of a crash report (the return value of its Report.body property).
Credential	/en-US/docs/Web/API/Credential	true	false	false	false	The Credential interface of the Credential Management API provides information about an entity (usually a user) as a prerequisite to a trust decision.
